fr_fr,en_gb,ifcproduct,ifctypeproduct,allplan,archicad,revit,domaine_architecture,domaine_structure,domaine_fluides
,Sanitary Fountain,IfcFlowTerminal,IfcSanitaryTerminalType SANITARYFOUNTAIN,,,,,,YES
,Scanner,IfcFlowTerminal,IfcElectricApplianceType SCANNER,,,,,,YES
,Shower,IfcFlowTerminal,IfcSanitaryTerminalType SHOWER,,,,,,YES
,Duct Silencer,IfcFlowTreatmentDevice,IfcDuctSilencer *,,,,,,YES
,Filter,IfcFlowTreatmentDevice,IfcFilterType *,,,,,,YES
,Flow Treatment Device,IfcFlowTreatmentDevice,IfcFlowTreatmentDeviceType,,,,,,YES
Fondation,Footing,IfcFooting,n/a,,,Fondation Filante / Isolée,YES,YES,
Fondation,Foundation,IfcFooting,n/a,,,,YES,YES,
Longrine,Footing Beam,IfcFooting FOOTING_BEAM,n/a,,,Structure / Poutre,YES,YES,
Semelle isolée,,IfcFooting PAD_FOOTING,,,,Fondation Isolée,YES,YES,
,Pile Cap,IfcFooting PILE_CAP,,,,,YES,YES,
Semelle filante,Strip Footing,IfcFooting STRIP_FOOTING,,,,Fondation Filante,YES,YES,
,Furniture System,IfcFurnishingElement,IfcSystemFurnitureElementType,,,,YES,,
,System Furniture Element,IfcFurnishingElement,IfcSystemFurnitureElementType,,,,YES,,
Mobilier,Furniture,IfcFurnishingElement,IfcFurnitureType *,,Objet,,YES,,
,Furniture Element,IfcFurnishingElement,IfcFurnishingElementType,,,,YES,,
Trame,Grid,IfcGrid,,,Grille,Quadrillage,YES,YES,
Boulon,Bolt,IfcMechanicalFastener,IfcMechanicalFastenerType,,,,,YES,
Rondelle,Washer,IfcMechanicalFastener,IfcMechanicalFastenerType,,,,,YES,
Fixation mécanique,Mechanical Fastener,IfcMechanicalFastener,IfcMechanicalFastener,,,,,YES,
Clou,Nail,IfcMechanicalFastener,IfcMechanicalFastenerType,,,,,YES,
Ecrou,Nut,IfcMechanicalFastener,IfcMechanicalFastenerType,,,,,YES,
Rivet,Rivet,IfcMechanicalFastener,IfcMechanicalFastenerType,,,,,YES,
Vis,Screw,IfcMechanicalFastener,IfcMechanicalFastenerType,,,,,YES,
Entretoise / contrefiche,Brace,IfcMember,IfcMemberType BRACE,,,,YES,YES,
Corde (poutre treillis),Chord,IfcMember,IfcMemberType CHORD,,,,YES,YES,
Entrait,Collar,IfcMember,IfcMemberType COLLAR,,,,YES,YES,
Ossature / montant,Member,IfcMember,IfcMemberType MEMBER,,,,YES,YES,
Meneau,Mullion,IfcMember,IfcMemberType MULLION,,,Meneau,YES,YES,
Plat,Plate,IfcMember,IfcMemberType PLATE,,,,YES,YES,
Poinçon,Post,IfcMember,IfcMemberType POST,,,,YES,YES,
Panne,Purlin,IfcMember,IfcMemberType PURLIN,,,,YES,YES,
Arbalétrier,Rafter,IfcMember,IfcMemberType RAFTER,,,,YES,YES,
Limon,Stringer,IfcMember,IfcMemberType STRINGER,,,,YES,YES,
Contrefiche ?,Strut,IfcMember,IfcMemberType STRUT,,,,YES,YES,
Montant,Stud,IfcMember,IfcMemberType STUD,,,,YES,YES,
Pieu,Pile,IfcPile,n/a,,,,YES,YES,
Panneau de mur-rideau,Curtain Wall Panel,IfcPlate,IfcPlateType CURTAIN_PANEL,,,Panneau de mur-rideau,YES,,
,Plate,IfcPlate,IfcPlateType *,,,,YES,,
,Sheet,IfcPlate,IfcPlateType SHEET,,,,YES,,
Balustrade,Balustrade,IfcRailing,IfcRailingType BALUSTRADE,,,Barreaux,YES,,
Garde-corps,Guardrail,IfcRailing,IfcRailingType GUARDRAIL,,Objet,Garde-corps,YES,,
Main-courante,Handrail,IfcRailing,IfcRailingType HANDRAIL,,,Traverses (profil),YES,,
Rampe,Railing,IfcRailing,IfcRailingType *,,,,YES,,
Rampe,Ramp,IfcRamp *,n/a,,Escalier,Rampe d'accès,YES,,
Rampe droite,,IfcRamp STRAIGHT_RUN_RAMP,,,Escalier,Rampe d'accès,YES,,
Rampe avec palier intermédiaire,,IfcRamp TWO_STRAIGHT_RUN_RAMP,,,Escalier,Rampe d'accès,YES,,
Rampe quart tournant (1 palier intermédiaire),,IfcRamp QUARTER_TURN_RAMP,,,Escalier,Rampe d'accès,YES,,
Rampe double quart tournant (2 paliers intermédiaires),,IfcRamp TWO_QUARTER_TURN_RAMP,,,Escalier,Rampe d'accès,YES,,
Rampe double quart tournant (1 palier intermédiaire),,IfcRamp HALF_TURN_RAMP,,,Escalier,Rampe d'accès,YES,,
Rampe en spirale,,IfcRamp SPIRAL_RAMP,,,Escalier,Rampe d'accès,YES,,
Volée de rampe,Ramp Flight,IfcRampFlight,IfcRampFlightType *,,Escalier,Rampe d'accès,YES,,
Volée de rampe droite,,IfcRampFlight,IfcRampFlightType STRAIGHT,,Escalier,Rampe d'accès,YES,,
Volée de rampe à spirale,,IfcRampFlight,IfcRampFlightType SPIRAL,,Escalier,Rampe d'accès,YES,,
Fer à béton,Reinforcing Bar,IfcReinforcingBar,n/a,,,,,YES,
Treillis soudé,Reinforcing Mesh,IfcReinforcingMesh,n/a,,,,,YES,
Toiture,,IfcRoof,,,Toit,Toit,YES,,
Toiture terrasse,,IfcRoof,IfcRoofType FLAT_ROOF,,Dalle,Sol,YES,,
Toiture à un versant (appentis),,IfcRoof,IfcRoofType SHED_ROOF,,Toit,Toit,YES,,
Toiture à deux versants,,IfcRoof,IfcRoofType GABLE_ROOF,,Toit,Toit,YES,,
Toiture à quatre versants égaux,,IfcRoof,IfcRoofType HIP_ROOF,,Toit,Toit,YES,,
Toiture à deux pans en croupe,,IfcRoof,IfcRoofType HIPPED_GABLE_ROOF,,Toit,Toit,YES,,
Toiture à deux pans avec ligne de bris,,IfcRoof,IfcRoofType GAMBREL_ROOF,,Toit,Toit,YES,,
Toit à la mansard,,IfcRoof,IfcRoofType MANSARD_ROOF,,Toit,Toit,YES,,
Voûte plein-cintre,,IfcRoof,IfcRoofType BARREL_ROOF,,Toit,Toit,YES,,
